thread_number,1e6_ops
1,755670.469591
2,1591112.296200
3,2351473.768313
4,3075427.907966
5,4113383.998460
6,5017597.718719
7,5926417.247865
8,6964898.464909
9,7883814.211706
10,8848332.771921
11,9581222.673814
12,10658755.652951
13,11775022.464388
14,12482195.552292
15,13598500.466157
16,14641701.102117
17,15940436.327999
18,16827459.209482
19,17230212.944067
20,18049555.306789
21,19218999.441592
22,19011253.597500
23,20362833.934695
24,22012221.229251
25,22890146.524406
26,23107498.741508
27,23773497.338450
28,26474982.147920
29,26265475.881044
30,27316005.261500
31,28865595.379750
32,30139919.452271
33,29816671.598344
34,32404681.063570
35,32891673.804982
36,32035574.352037
37,35669175.672153
38,36979267.204049
39,32580441.680667
40,21525890.749431
