thread_number,1e6_ops
1,756116.617475
2,1607001.528246
3,2359941.262006
4,3020560.523544
5,4132515.267774
6,5083403.477100
7,5934990.405999
8,6927005.419675
9,7522996.578052
10,8748858.853532
11,9774229.185227
12,10689434.992169
13,11679482.757755
14,12575469.479373
15,13708831.573391
16,14344154.214231
17,15598899.628662
18,16245682.547406
19,17490853.464271
20,17717224.556378
21,19076660.629031
22,19753843.796757
23,20591291.283995
24,21436545.670443
25,22597245.608174
26,22939653.250625
27,23651336.351354
28,25765792.859309
29,26877159.982962
30,28741082.252925
31,29396189.048656
32,30034400.801991
33,29936879.586236
34,31431300.653309
35,34164797.453657
36,34774051.255213
37,34906698.061285
38,35591521.658206
39,33645283.429213
40,22542644.879381
